Date,Observer,Group,Focal_ID,Focal_Fatness,Time,minutes,EA ,FO,TR,RE,SO,AM,AF,JV,AL,Notes,,,,,,,,,
7/20/23,Jilly,A,AM,3,8:35 AM,6,0.500,0.000,0.500,0.000,0.000,0.170,0.500,0.000,0.330,,,,,,,,,,
7/20/23,Jilly,A,AM,3,8:56 AM,5,0.000,0.000,1.000,0.000,0.000,0.000,0.600,0.000,0.400,,,,,,,,,,
7/20/23,Jilly,A,AM,3,9:51 AM,5,0.000,0.400,0.600,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/22/23,Jacob,A,AM,3,10:51 AM,7,0.000,0.000,0.430,0.570,0.000,0.000,0.570,0.140,0.290,NN is AF 18 for one of them,,,,,,,,,
7/24/23,Jacob,A,AM,3,10:55 AM,7,0.000,0.000,0.290,0.710,0.000,0.000,0.570,0.000,0.430,NN is AF 16 for 4 of them,,,,,,,,,
7/24/23,Jacob,A,AM,3,9:59 AM,9,0.000,0.330,0.330,0.330,0.000,0.000,0.220,0.000,0.780,NN is AF 16 for one of them,,,,,,,,,
7/24/23,Jilly,A,AM,3,10:25 AM,7,0.140,0.290,0.290,0.290,0.000,0.000,0.570,0.290,0.140,,,,,,,,,,
7/26/23,Jilly,A,AM,3,8:34 AM,6,0.830,0.170,0.000,0.000,0.000,0.000,0.170,0.830,0.000,,,,,,,,,,
7/26/23,Jilly,A,AM,3,8:44 AM,8,0.000,0.380,0.380,0.130,0.130,0.250,0.380,0.250,0.130,,,,,,,,,,
7/26/23,Jilly,A,AM-HOLES,3,8:54 AM,6,0.000,0.170,0.500,0.330,0.000,0.170,0.830,0.000,0.000,,,,,,,,,,
7/26/23,Jilly,A,AM5,3,10:14 AM,5,0.000,0.000,0.800,0.200,0.000,0.000,0.200,0.000,0.800,,,,,,,,,,
8/3/23,Jilly,A,AM-HOLES,3,10:33 AM,8,0.130,0.880,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,
8/5/23,Jacob,A,AM,3,9:36 AM,6,0.500,0.330,0.000,0.170,0.000,0.500,0.330,0.000,0.170,"Focal had hole punches in both ears, NN AM is grade 3, eating and foraging anajá",,,,,,,,,
8/7/23,Jilly,A,AM,3,10:39 AM,5,0.800,0.000,0.200,0.000,0.000,0.200,0.200,0.000,0.600,,,,,,,,,,
8/9/23,Jacob,A,AM,3,8:11 AM,6,0.000,0.000,0.500,0.170,0.330,0.000,0.500,0.170,0.330,"SO = pursuing AF 14, Focal male had hole punches in both ears",,,,,,,,,
8/10/23,Jilly,A,AM,3,9:11 AM,5,0.000,0.200,0.800,0.000,0.000,0.200,0.000,0.000,0.800,,,,,,,,,,
7/6/24,Vanessa,A,AM7,3,10:52 AM,7,0.140,0.000,0.430,0.430,0.000,0.000,0.290,0.000,0.710,,,,,,,,,,
7/15/24,Vanessa,A,AM5,3,9:52 AM,9,0.110,0.330,0.440,0.110,0.000,0.000,0.110,0.330,0.560,,,,,,,,,,
7/15/24,Vanessa,A,AM7,3,10:07 AM,8,0.500,0.130,0.130,0.250,0.000,0.000,0.000,0.630,0.380,,,,,,,,,,
7/16/24,Vanessa,A,AM5,3,12:11 PM,8,0.000,0.000,0.750,0.250,0.000,0.000,0.250,0.500,0.250,AF27 & AF21,,,,,,,,,
7/23/24,Vanessa,A,AM7,3,9:21 AM,10,0.400,0.200,0.400,0.000,0.000,0.000,0.500,0.100,0.400,AF15,,,,,,,,,
7/23/24,Vanessa,A,AM5,3,10:14 AM,8,0.000,0.000,0.630,0.380,0.000,0.000,0.630,0.000,0.380,,,,,,,,,,
7/23/24,Vanessa,A,AM,3,10:45 AM,6,0.000,0.000,0.830,0.170,0.000,0.000,0.500,0.000,0.500,"AM = ""Marcey"", AF26",,,,,,,,,
7/27/24,Vanessa,A,AM,3,9:09 AM,9,0.000,0.110,0.440,0.440,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
8/1/24,Vanessa,A,AM7,3,9:25 AM,8,0.000,0.000,0.500,0.380,0.130,0.000,0.380,0.000,0.630,,,,,,,,,,
8/4/24,Vanessa,A,AM5,3,10:45 AM,10,0.200,0.000,0.500,0.300,0.000,0.000,0.400,0.100,0.500,AF19,,,,,,,,,
8/4/24,Vanessa,A,AM,3,11:07 AM,10,0.000,0.100,0.800,0.100,0.000,0.200,0.000,0.000,0.800,,,,,,,,,,
8/7/24,Vanessa,A,AM3,3,8:33 AM,10,0.000,0.400,0.500,0.100,0.000,0.100,0.100,0.000,0.800,2 AM's NC Grade 3's,,,,,,,,,
8/9/24,Vanessa,A,AM,3,8:41 AM,7,0.000,0.000,0.430,0.570,0.000,0.000,0.140,0.000,0.860,,,,,,,,,,
8/9/24,Vanessa,A,AM7,3,11:16 AM,8,0.000,0.130,0.500,0.380,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/16/24,Anita,A,Marcey,3,9:02 AM,8,0.125,0.375,0.375,0.125,0.000,0.250,0.375,0.000,0.375,,,,,,,,,,
7/3/24,Landon,A,AM7,3,8:44 AM,5,0.000,0.200,0.400,0.400,0.000,0.000,0.600,0.000,0.400,AF26 2 observations,,,,,,,,,
7/9/24,Landon,A,AM,3,8:44 AM,8,0.000,0.250,0.500,0.125,0.125,0.000,0.000,0.125,0.875,,,,,,,,,,
7/16/24,Landon,A,AM5,3,10:53 AM,10,0.000,0.100,0.600,0.300,0.000,0.000,0.300,0.400,0.300,,,,,,,,,,
7/16/24,Landon,A,AM7,3,11:16 AM,10,0.000,0.000,0.800,0.200,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/19/24,Landon,A,AM7,3,9:13 AM,10,0.000,0.100,0.400,0.500,0.000,0.000,0.200,0.000,0.800,AF15 and AFNC,,,,,,,,,
7/19/24,Landon,A,AM5,3,10:53 AM,7,0.143,0.143,0.000,0.714,0.000,0.000,0.286,0.000,0.714,AF19 and AFNC,,,,,,,,,
7/19/24,Landon,A,AM,3,11:20 AM,8,0.000,0.000,0.875,0.125,0.000,0.000,0.250,0.000,0.750,AF11 for first 2 minutes. Then eyeing AF11 throughout.,,,,,,,,,
7/30/24,Landon,A,AM,3,9:20 AM,10,0.000,0.100,0.600,0.200,0.100,,,,,,,,,,,,,,
7/30/24,Landon,A,AM5,3,9:38 AM,7,0.000,0.000,0.857,0.000,0.143,0.000,1.000,0.000,0.000,"AF17, move a meter, stop.. Repeat, chirping, quietly, like muttering, small chirps then a PU, she is receptive",,,,,,,,,
7/30/24,Landon,A,AM7,3,10:26 AM,5,0.800,0.000,0.000,0.000,0.200,0.000,0.000,0.000,1.000,,,,,,,,,,
8/3/24,Landon,A,AM7,3,9:55 AM,5,0.000,0.000,1.000,0.000,0.000,0.000,0.200,0.200,0.600,"tail draped over head, she crossed over him",,,,,,,,,
8/3/24,Landon,A,AM5,3,10:30 AM,10,0.100,0.000,0.500,0.300,0.100,,,,,,,,,,,,,,
7/9/24,Bella,A,AM7,3,11:34 AM,7,0.430,0.000,0.430,0.140,0.000,0.000,0.000,0.290,0.710,,,,,,,,,,
7/10/24,Bella,A,AM5,3,9:38 AM,5,0.000,0.200,0.400,0.400,0.000,0.000,0.000,0.600,0.400,,,,,,,,,,
7/11/24,Bella,A,AM,3,9:56 AM,6,0.170,0.000,0.670,0.170,0.000,0.170,0.000,0.000,0.830,,,,,,,,,,
7/11/24,Bella,A,AM5,3,10:18 AM,10,0.100,0.000,0.500,0.400,0.000,0.200,0.300,0.200,0.300,,,,,,,,,,
7/27/24,Bella,A,AM7,3,10:10 AM,10,0.000,0.000,0.700,0.300,0.000,0.100,0.200,0.000,0.700,,,,,,,,,,
7/27/24,Bella,A,AM5,3,10:28 AM,8,0.000,0.000,0.380,0.620,0.000,0.000,0.250,0.380,0.380,,,,,,,,,,
7/29/24,Bella,A,AM,3,9:43 AM,8,0.000,0.250,0.380,0.380,0.000,0.000,0.380,0.000,0.630,,,,,,,,,,
7/29/24,Bella,A,AM5,3,9:59 AM,6,0.000,0.000,0.670,0.330,0.000,0.000,0.830,0.000,0.170,,,,,,,,,,
7/29/24,Bella,A,AM7,3,10:57 AM,10,0.300,0.200,0.400,0.100,0.000,0.000,0.100,0.100,0.800,,,,,,,,,,
8/4/24,Bella,A,AM,3,10:04 AM,9,0.110,0.000,0.780,0.110,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
8/7/24,Bella,A,AM7,3,8:42 AM,10,0.000,0.100,0.700,0.200,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
8/7/24,Bella,A,AM5,3,10:31 AM,6,0.000,0.000,0.670,0.330,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,
8/7/24,Bella,A,AM,3,10:56 AM,6,0.170,0.000,0.670,0.170,0.000,0.000,0.330,0.500,0.170,,,,,,,,,,
8/9/24,Bella,A,AM5,3,9:48 AM,5,0.000,0.000,0.400,0.600,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,
7/18/23,Jilly,B,AM,3,10:11 AM,6,0.000,0.670,0.330,0.000,0.000,0.170,0.500,0.330,0.000,,,,,,,,,,
7/19/23,Jilly,B,AM,3,11:06 AM,5,0.200,0.800,0.000,0.000,0.000,0.000,0.800,0.200,0.000,,,,,,,,,,
7/19/23,Jilly,B,AM,3,11:18 AM,5,0.000,0.000,1.000,0.000,0.000,0.000,0.600,0.000,0.400,,,,,,,,,,
7/19/23,Jilly,B,AM,3,11:35 AM,10,0.000,0.500,0.100,0.300,0.100,0.000,0.600,0.000,0.400,,,,,,,,,,
7/20/23,Jacob,B,AM,3,11:04 AM,10,0.100,0.100,0.100,0.700,0.000,0.000,0.600,0.300,0.100,,,,,,,,,,
7/25/23,Jilly,B,AM,3,10:21 AM,5,0.000,0.200,0.800,0.000,0.000,0.400,0.200,0.000,0.400,,,,,,,,,,
7/26/23,Jacob,B,AM,3,10:03 AM,6,0.170,0.330,0.000,0.500,0.000,0.170,0.000,0.170,0.670,NN AM is grade 2,,,,,,,,,
